"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","C_Polarized","","","","Capacitor_SMD:C_Elec_10x10.2",""
"C2","1","C","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","14","C","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"D1,D4,D7","3","D","","","","Diode_THT:D_A-405_P12.70mm_Horizontal",""
"D2,D3,D5,D6","4","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"F1","1","Polyfuse","","","","Varistor:RV_Disc_D12mm_W6.2mm_P7.5mm",""
"FB1","1","FerriteBead","","","","Inductor_SMD:L_0402_1005Metric",""
"J1","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"J2","1","Conn_02x18_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical_SMD",""
"J3,J8,J9,J10,J11","5","Conn_01x08","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J4","1","Conn_01x10","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J5,J12","2","Conn_02x03_Odd_Even","","","","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Left",""
"J6","1","Conn_02x02_Odd_Even","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Right",""
"J13","1","USB_B","","","","USB-B-S-X-X-TH:SAMTEC_USB-B-S-X-X-TH",""
"Q1","1","FDN340P","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23","22","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"RV1,RV2","2","Varistor","","","","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm",""
"SW1","1","SW_MEC_5E","","","","Button_Switch_SMD:SW_DIP_SPSTx02_Slide_Omron_A6H-2101_W6.15mm_P1.27mm","https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5E.pdf"
"U2","1","ATmega2560-16A","","","","Package_QFP:TQFP-100_14x14mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2549-8-bit-AVR-Microcontroller-ATmega640-1280-1281-2560-2561_datasheet.pdf"
"U3","1","ATmega16U2-M","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc7799.pdf"
"U4","1","LMV358","","","","Package_CSP:LFCSP-WD-10-1EP_3x3mm_P0.5mm_EP1.64x2.38mm_ThermalVias","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
"U5","1","LP2985-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf"
"U6","1","AMS1117CD-5.0","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Y1","1","Resonator","","","","Crystal:Resonator-3Pin_W6.0mm_H3.0mm",""
"Y2","1","Crystal","","","","Crystal:Crystal_AT310_D3.0mm_L10.0mm_Vertical",""
